,Date,Percent Illumination,Total Crimes
0,2015-01-01,84.0,245
1,2015-01-02,91.0,149
2,2015-01-03,96.0,131
3,2015-01-04,99.0,113
4,2015-01-05,100.0,167
5,2015-01-06,99.0,137
6,2015-01-07,96.0,149
7,2015-01-08,91.0,143
8,2015-01-09,85.0,177
9,2015-01-10,78.0,204
10,2015-01-11,70.0,177
11,2015-01-12,61.0,175
12,2015-01-13,52.0,191
13,2015-01-14,42.0,173
14,2015-01-15,32.0,196
15,2015-01-16,23.0,191
16,2015-01-17,14.0,182
17,2015-01-18,8.0,175
18,2015-01-19,3.0,173
19,2015-01-20,0.0,176
20,2015-01-21,1.0,149
21,2015-01-22,4.0,170
22,2015-01-23,11.0,198
23,2015-01-24,19.0,183
24,2015-01-25,29.0,162
25,2015-01-26,40.0,189
26,2015-01-27,51.0,175
27,2015-01-28,61.0,181
28,2015-01-29,71.0,181
29,2015-01-30,80.0,184
30,2015-01-31,87.0,156
31,2015-02-01,93.0,133
32,2015-02-02,97.0,176
33,2015-02-03,99.0,186
34,2015-02-04,100.0,151
35,2015-02-05,98.0,150
36,2015-02-06,95.0,206
37,2015-02-07,91.0,188
38,2015-02-08,85.0,163
39,2015-02-09,77.0,204
40,2015-02-10,69.0,181
41,2015-02-11,59.0,177
42,2015-02-12,49.0,180
43,2015-02-13,39.0,186
44,2015-02-14,29.0,149
45,2015-02-15,19.0,150
46,2015-02-16,11.0,111
47,2015-02-17,5.0,122
48,2015-02-18,1.0,155
49,2015-02-19,0.0,159
50,2015-02-20,2.0,178
51,2015-02-21,8.0,119
52,2015-02-22,15.0,75
53,2015-02-23,24.0,120
54,2015-02-24,35.0,167
55,2015-02-25,45.0,113
56,2015-02-26,56.0,109
57,2015-02-27,66.0,157
58,2015-02-28,75.0,172
59,2015-03-01,83.0,160
60,2015-03-02,89.0,136
61,2015-03-03,94.0,163
62,2015-03-04,98.0,180
63,2015-03-05,100.0,137
64,2015-03-06,100.0,170
65,2015-03-07,98.0,170
66,2015-03-08,95.0,129
67,2015-03-09,89.0,180
68,2015-03-10,83.0,190
69,2015-03-11,75.0,198
70,2015-03-12,65.0,214
71,2015-03-13,55.0,160
72,2015-03-14,45.0,182
73,2015-03-15,34.0,182
74,2015-03-16,24.0,160
75,2015-03-17,14.0,155
76,2015-03-18,7.0,193
77,2015-03-19,2.0,159
78,2015-03-20,0.0,209
79,2015-03-21,1.0,163
80,2015-03-22,5.0,155
81,2015-03-23,11.0,174
82,2015-03-24,20.0,179
83,2015-03-25,29.0,138
84,2015-03-26,39.0,212
85,2015-03-27,49.0,212
86,2015-03-28,59.0,183
87,2015-03-29,69.0,156
88,2015-03-30,77.0,155
89,2015-03-31,85.0,177
90,2015-04-01,91.0,194
91,2015-04-02,95.0,178
92,2015-04-03,99.0,173
93,2015-04-04,100.0,178
94,2015-04-05,99.0,150
95,2015-04-06,97.0,186
96,2015-04-07,93.0,188
97,2015-04-08,87.0,192
98,2015-04-09,79.0,165
99,2015-04-10,70.0,217
100,2015-04-11,60.0,180
101,2015-04-12,49.0,163
102,2015-04-13,38.0,179
103,2015-04-14,27.0,191
104,2015-04-15,17.0,203
